127.0.0.1 [06/Jul/2020:11:01:33.098] GET /reservations http 200 OK 15897 http://localhost:65010/home Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0
127.0.0.1 [06/Jul/2020:11:01:54.641] POST /new_reservation http 302 FOUND 233 http://localhost:65010/reservations Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0
127.0.0.1 [06/Jul/2020:11:01:54.650] GET /reservations http 200 OK 16740 http://localhost:65010/reservations Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0
127.0.0.1 [06/Jul/2020:11:02:22.875] GET /logout http 302 FOUND 219 http://localhost:65010/reservations Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0
127.0.0.1 [06/Jul/2020:11:02:22.885] GET /login http 200 OK 1819 http://localhost:65010/reservations Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0
127.0.0.1 [06/Jul/2020:11:13:01.097] GET /login http 200 OK 1819 http://localhost:65010/reservations Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0
127.0.0.1 [06/Jul/2020:11:13:01.328] GET /login http 200 OK 1819 http://localhost:65010/reservations Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0
127.0.0.1 [06/Jul/2020:11:13:01.938] GET /login http 200 OK 1819 http://localhost:65010/reservations Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0
127.0.0.1 [06/Jul/2020:11:13:11.617] POST /login http 302 FOUND 217 http://localhost:65010/login Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0
127.0.0.1 [06/Jul/2020:11:13:11.632] GET /home http 200 OK 6014 http://localhost:65010/login Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0
127.0.0.1 [06/Jul/2020:11:13:13.259] GET /reservations http 200 OK 16740 http://localhost:65010/home Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0
127.0.0.1 [06/Jul/2020:11:13:44.955] POST /new_reservation http 302 FOUND 233 http://localhost:65010/reservations Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0
127.0.0.1 [06/Jul/2020:11:13:44.964] GET /reservations http 200 OK 17583 http://localhost:65010/reservations Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0
127.0.0.1 [06/Jul/2020:11:13:56.649] GET /logout http 302 FOUND 219 http://localhost:65010/reservations Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0
127.0.0.1 [06/Jul/2020:11:13:56.659] GET /login http 200 OK 1819 http://localhost:65010/reservations Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0
127.0.0.1 [06/Jul/2020:11:15:15.039] GET /login http 200 OK 1819 http://localhost:65010/reservations Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0
127.0.0.1 [06/Jul/2020:11:15:26.867] POST /login http 302 FOUND 217 http://localhost:65010/login Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0
127.0.0.1 [06/Jul/2020:11:15:26.877] GET /home http 200 OK 6826 http://localhost:65010/login Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0
127.0.0.1 [06/Jul/2020:11:37:22.693] GET /home http 200 OK 6826 http://localhost:65010/home Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0
127.0.0.1 [06/Jul/2020:11:37:22.696] GET /home http 200 OK 6826 http://localhost:65010/home Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0
127.0.0.1 [06/Jul/2020:15:56:49.623] GET / http 200 OK 1819 None Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0
127.0.0.1 [06/Jul/2020:16:07:27.113] POST /login http 302 FOUND 217 http://localhost:65010/ Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0
127.0.0.1 [06/Jul/2020:16:07:27.126] GET /home http 200 OK 6826 http://localhost:65010/ Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0
127.0.0.1 [06/Jul/2020:16:07:29.478] GET /reservations http 200 OK 17583 http://localhost:65010/home Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0
127.0.0.1 [06/Jul/2020:16:44:50.756] GET /reservations http 302 FOUND 261 http://localhost:65010/home Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0
127.0.0.1 [06/Jul/2020:16:44:50.773] GET /login http 200 OK 1999 http://localhost:65010/home Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0
127.0.0.1 [06/Jul/2020:16:44:51.054] GET /login http 200 OK 1819 http://localhost:65010/home Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0
127.0.0.1 [06/Jul/2020:16:44:55.579] POST /login http 302 FOUND 217 http://localhost:65010/login?next=%2Freservations Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0
127.0.0.1 [06/Jul/2020:16:44:55.592] GET /home http 200 OK 6826 http://localhost:65010/login?next=%2Freservations Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0
127.0.0.1 [06/Jul/2020:16:44:56.532] GET /reservations http 200 OK 17583 http://localhost:65010/home Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0
127.0.0.1 [06/Jul/2020:16:45:15.546] POST /new_reservation http 302 FOUND 233 http://localhost:65010/reservations Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0
127.0.0.1 [06/Jul/2020:16:45:15.556] GET /reservations http 200 OK 18426 http://localhost:65010/reservations Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0
127.0.0.1 [06/Jul/2020:16:45:46.119] GET /logout http 302 FOUND 219 http://localhost:65010/reservations Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0
127.0.0.1 [06/Jul/2020:16:45:46.121] GET /logout http 302 FOUND 219 http://localhost:65010/reservations Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0
127.0.0.1 [06/Jul/2020:16:45:46.126] GET /login http 200 OK 1819 http://localhost:65010/reservations Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0
127.0.0.1 [06/Jul/2020:16:53:10.240] GET /login http 200 OK 1819 http://localhost:65010/reservations Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0
127.0.0.1 [06/Jul/2020:16:53:10.370] GET /login http 200 OK 1819 http://localhost:65010/reservations Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0
127.0.0.1 [06/Jul/2020:16:53:10.504] GET /login http 200 OK 1819 http://localhost:65010/reservations Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0
127.0.0.1 [06/Jul/2020:16:53:10.644] GET /login http 200 OK 1819 http://localhost:65010/reservations Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0
